id,时间戳,地点,温度,ph,PM2.5,备注,录入设备名称
1,2025-06-15 06:15:00,郑州金水,31.1,7.1,66,相关可能导致当前读数偏高。,EnvSensor-A1
2,2025-06-15 06:30:00,长沙雨花,23.6,6.9,31,检测连续稳定，无明显相关迹象。,EnvSensor-C3
3,2025-06-15 06:45:00,上海浦东,23.3,7.4,54,周围环境相关，采样值可信。,EnvSensor-A1
4,2025-06-15 07:00:00,北京海淀,23.1,7.1,76,监测点靠近相关区域，可能存在施工风险。,EnvSensor-C3
5,2025-06-15 07:15:00,合肥庐阳,25.7,6.8,74,当前时段为相关，需关注PM变化。,EnvSensor-B2
6,2025-06-15 07:30:00,苏州吴中,29.0,7.1,57,检测连续稳定，无明显相关迹象。,EnvSensor-A1
7,2025-06-15 07:45:00,宁波鄞州,26.3,7.0,50,检测连续稳定，无明显相关迹象。,EnvSensor-A1
8,2025-06-15 08:00:00,合肥庐阳,25.0,7.0,36,传感器工作正常，相关概率低。,EnvSensor-B2
9,2025-06-15 08:15:00,北京海淀,21.8,7.5,46,传感器工作正常，相关概率低。,EnvSensor-A1
10,2025-06-15 08:30:00,西安碑林,28.3,6.8,68,相关可能导致当前读数偏高。,EnvSensor-A1
11,2025-06-15 08:45:00,合肥庐阳,27.2,7.1,39,当前时段为相关，需关注PM变化。,EnvSensor-C3
12,2025-06-15 09:00:00,长沙雨花,30.7,7.2,80,传感器工作正常，相关概率低。,EnvSensor-B2
13,2025-06-15 09:15:00,上海浦东,24.8,7.0,66,周围环境相关，采样值可信。,EnvSensor-C3
14,2025-06-15 09:30:00,天津南开,28.3,6.8,67,检测连续稳定，无明显相关迹象。,EnvSensor-B2
15,2025-06-15 09:45:00,西安碑林,30.8,7.0,67,周围环境相关，采样值可信。,EnvSensor-B2
16,2025-06-15 10:00:00,杭州滨江,21.0,7.1,38,监测点靠近相关区域，可能存在设备维护风险。,EnvSensor-A1
17,2025-06-15 10:15:00,苏州吴中,24.0,7.0,42,传感器工作正常，相关概率低。,EnvSensor-C3
18,2025-06-15 10:30:00,武汉武昌,21.4,6.7,52,监测点靠近相关区域，可能存在工业污染风险。,EnvSensor-B2
19,2025-06-15 10:45:00,哈尔滨道里,30.3,6.8,33,数据波动明显，疑似相关影响。,EnvSensor-B2
20,2025-06-15 11:00:00,成都高新,22.8,6.9,56,检测连续稳定，无明显相关迹象。,EnvSensor-A1
21,2025-06-15 11:15:00,无锡滨湖,27.1,6.8,70,相关可能导致当前读数偏高。,EnvSensor-B2
22,2025-06-15 11:30:00,郑州金水,26.8,7.0,76,相关可能导致当前读数偏高。,EnvSensor-B2
23,2025-06-15 11:45:00,青岛市南,30.7,7.2,60,周围环境相关，采样值可信。,EnvSensor-B2
24,2025-06-15 12:00:00,哈尔滨道里,29.9,6.7,68,传感器工作正常，相关概率低。,EnvSensor-B2
25,2025-06-15 12:15:00,深圳南山,23.1,7.0,36,传感器工作正常，相关概率低。,EnvSensor-A1
26,2025-06-15 12:30:00,杭州滨江,22.2,6.8,60,传感器工作正常，相关概率低。,EnvSensor-B2
27,2025-06-15 12:45:00,北京海淀,27.4,7.0,79,数据波动明显，疑似相关影响。,EnvSensor-A1
28,2025-06-15 13:00:00,杭州滨江,31.5,7.4,76,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-C3
29,2025-06-15 13:15:00,西安碑林,30.8,7.4,54,相关可能导致当前读数偏高。,EnvSensor-B2
30,2025-06-15 13:30:00,合肥庐阳,26.4,7.3,65,传感器工作正常，相关概率低。,EnvSensor-B2
31,2025-06-15 13:45:00,武汉武昌,24.9,7.3,42,检测连续稳定，无明显相关迹象。,EnvSensor-B2
32,2025-06-15 14:00:00,西安碑林,26.8,7.5,40,数据波动明显，疑似相关影响。,EnvSensor-B2
33,2025-06-15 14:15:00,广州天河,27.6,7.5,71,检测连续稳定，无明显相关迹象。,EnvSensor-C3
34,2025-06-15 14:30:00,西安碑林,20.4,7.2,62,当前时段为相关，需关注PM变化。,EnvSensor-A1
35,2025-06-15 14:45:00,杭州滨江,27.1,6.9,61,检测连续稳定，无明显相关迹象。,EnvSensor-C3
36,2025-06-15 15:00:00,武汉武昌,23.0,7.5,79,传感器工作正常，相关概率低。,EnvSensor-A1
37,2025-06-15 15:15:00,天津南开,21.1,7.3,48,数据波动明显，疑似相关影响。,EnvSensor-C3
38,2025-06-15 15:30:00,北京海淀,26.5,7.1,48,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-A1
39,2025-06-15 15:45:00,西安碑林,21.9,7.1,34,检测连续稳定，无明显相关迹象。,EnvSensor-A1
40,2025-06-15 16:00:00,武汉武昌,31.5,7.4,65,数据波动明显，疑似相关影响。,EnvSensor-C3
41,2025-06-15 16:15:00,广州天河,26.9,6.7,50,检测连续稳定，无明显相关迹象。,EnvSensor-A1
42,2025-06-15 16:30:00,北京海淀,25.0,6.8,73,周围环境相关，采样值可信。,EnvSensor-C3
43,2025-06-15 16:45:00,无锡滨湖,28.7,7.4,71,相关可能导致当前读数偏高。,EnvSensor-C3
44,2025-06-15 17:00:00,天津南开,28.6,6.8,69,监测点靠近相关区域，可能存在数据缺失风险。,EnvSensor-A1
45,2025-06-15 17:15:00,长沙雨花,26.5,6.9,75,周围环境相关，采样值可信。,EnvSensor-A1
46,2025-06-15 17:30:00,北京海淀,25.3,7.1,80,传感器工作正常，相关概率低。,EnvSensor-A1
47,2025-06-15 17:45:00,宁波鄞州,29.8,6.9,54,相关可能导致当前读数偏高。,EnvSensor-C3
48,2025-06-15 18:00:00,哈尔滨道里,22.6,6.8,66,周围环境相关，采样值可信。,EnvSensor-B2
49,2025-06-15 18:15:00,广州天河,30.7,7.2,42,周围环境相关，采样值可信。,EnvSensor-B2
50,2025-06-15 18:30:00,上海浦东,22.3,7.2,41,传感器工作正常，相关概率低。,EnvSensor-A1
51,2025-06-15 18:45:00,上海浦东,29.5,7.1,76,周围环境相关，采样值可信。,EnvSensor-B2
52,2025-06-15 19:00:00,南京鼓楼,31.5,7.3,40,周围环境相关，采样值可信。,EnvSensor-A1
53,2025-06-15 19:15:00,杭州滨江,30.5,7.1,63,相关可能导致当前读数偏高。,EnvSensor-A1
54,2025-06-15 19:30:00,西安碑林,26.6,7.0,36,周围环境相关，采样值可信。,EnvSensor-A1
55,2025-06-15 19:45:00,北京海淀,22.0,7.5,47,监测点靠近相关区域，可能存在施工风险。,EnvSensor-C3
56,2025-06-15 20:00:00,广州天河,22.0,7.1,32,监测点靠近相关区域，可能存在交通高峰风险。,EnvSensor-C3
57,2025-06-15 20:15:00,重庆渝中,23.8,6.9,80,周围环境相关，采样值可信。,EnvSensor-A1
58,2025-06-15 20:30:00,天津南开,24.5,6.8,58,相关可能导致当前读数偏高。,EnvSensor-B2
59,2025-06-15 20:45:00,长沙雨花,24.4,6.9,62,传感器工作正常，相关概率低。,EnvSensor-C3
60,2025-06-15 21:00:00,青岛市南,27.7,7.3,60,检测连续稳定，无明显相关迹象。,EnvSensor-C3
61,2025-06-15 21:15:00,哈尔滨道里,28.4,7.2,69,数据波动明显，疑似相关影响。,EnvSensor-C3
62,2025-06-15 21:30:00,成都高新,26.5,7.3,71,检测连续稳定，无明显相关迹象。,EnvSensor-A1
63,2025-06-15 21:45:00,长沙雨花,22.5,6.9,33,周围环境相关，采样值可信。,EnvSensor-B2
64,2025-06-15 22:00:00,深圳南山,27.1,6.8,75,周围环境相关，采样值可信。,EnvSensor-B2
65,2025-06-15 22:15:00,南京鼓楼,22.4,7.2,58,监测点靠近相关区域，可能存在工业污染风险。,EnvSensor-B2
66,2025-06-15 22:30:00,苏州吴中,26.4,7.3,80,数据波动明显，疑似相关影响。,EnvSensor-C3
67,2025-06-15 22:45:00,武汉武昌,29.8,6.8,30,周围环境相关，采样值可信。,EnvSensor-A1
68,2025-06-15 23:00:00,哈尔滨道里,28.6,6.9,40,监测点靠近相关区域，可能存在异常值风险。,EnvSensor-A1
