ID,时间戳,地点,温度,pH,pm2.5,备注,录入设备
0,2025-06-16 09:36:00,长春工业大学1926,22.1,7.1,8.0,试试备注检索，关键词是关键词,HOLLOW-DEEP-DIVE-SYSTEM
1,2025-06-16 08:15:00,北京海淀区,26.3,7.2,35.0,设备校准正常,EnvMaster-3000
2,2025-06-16 08:30:00,上海浦东区,28.7,6.8,42.0,数据波动在允许范围内,EcoScan Pro
3,2025-06-16 09:00:00,广州天河区,30.1,7.5,78.0,PM2.5值偏高预警,EnvMaster-3000
4,2025-06-16 10:45:00,成都武侯区,25.9,8.9,28.0,PH值异常升高！设备检查中,AtmoGuard X1
5,2025-06-16 11:20:00,深圳南山区,31.4,6.2,95.0,酸雨风险！双参数异常,EnvMaster-3000
6,2025-06-16 12:00:00,北京朝阳区,29.8,7.1,152.0,PM2.5爆表！严重污染,PolluTrack S5
7,2025-06-16 13:15:00,杭州西湖区,27.6,7.8,63.0,传感器临时故障,EnvMaster-3000
8,2025-06-16 14:30:00,西安雁塔区,33.7,5.9,118.0,高温+酸性异常！紧急处理,EnvMaster-3000
9,2025-06-16 15:00:00,武汉江汉区,28.9,7.3,41.0,一切指标正常,EcoScan Pro
10,2025-06-16 16:45:00,重庆渝中区,34.2,8.1,205.0,极端污染！启动红色警报,EnvMaster-3000
11,2025-06-16 17:30:00,南京鼓楼区,26.8,7.0,38.0,设备维护中数据待验证,EnvMaster-3000
12,2025-06-16 18:20:00,天津滨海区,24.3,6.5,87.0,沙尘影响导致异常,AtmoGuard X1
13,2025-06-16 19:00:00,青岛崂山区,23.7,7.4,29.0,所有参数恢复正常,EnvMaster-3000
14,2025-06-16 20:15:00,厦门思明区,27.5,8.7,54.0,PH值超出阈值,EnvMaster-3000
15,2025-06-16 21:30:00,郑州金水区,25.1,7.6,162.0,重度污染！建议减少外出,PolluTrack S5
16,2025-06-16 22:00:00,长沙岳麓区,26.9,6.3,73.0,酸性条件持续监测,EnvMaster-3000
17,2025-06-16 23:45:00,沈阳和平区,19.8,7.9,48.0,低温环境下运行稳定,EcoScan Pro
19,2025-06-17 09:30:00,大连中山区,22.4,7.1,31.0,环境指标全部达标,AtmoGuard X1
20,2025-06-17 10:10:00,北京西城区,28.5,7.7,89.0,交通高峰污染积累,EnvMaster-3000
21,2025-06-16 10:56,长春市宽城区,23.1,7.1,16.0,昨晚下雨今天天气很好,HOLLOW-DEEP-DIVE-SYSTEM
22,2025-06-16 11:02,测试地点,23.0,7.1,13.0,测试,HOLLOW-DEEP-DIVE-SYSTEM
23,2025-06-16 11:02,测试,25.0,7.1,15.0,测试,HOLLOW-DEEP-DIVE-SYSTEM
24,2025-06-16 11:06,测试,25.0,7.0,12.0,测试,HOLLOW-DEEP-DIVE-SYSTEM
25,2025-06-16 11:16:08,测试2,23.0,7.0,11.0,求求你了,HOLLOW-DEEP-DIVE-SYSTEM
